Medoid1_ID,Medoid1_Word,Medoid2_ID,Medoid2_Word,Euclidean_Distance,Cosine_Distance
0,pushes,1,slavishness,19.361395,1.0046146
0,pushes,2,lunkheaded,19.27625,0.9156514
0,pushes,3,nailheads,20.013771,1.0739275
0,pushes,4,presolicitation,18.594358,0.9934648
0,pushes,5,rattled,22.480968,0.8450317
0,pushes,6,lori,21.145666,1.0127258
0,pushes,7,bobolinks,24.62278,1.1535392
0,pushes,8,pimientos,20.746098,1.1085434
0,pushes,9,elastase,23.04523,1.0666757
1,slavishness,2,lunkheaded,12.606868,0.81278247
1,slavishness,3,nailheads,13.709649,1.1045138
1,slavishness,4,presolicitation,12.216041,1.0629567
1,slavishness,5,rattled,20.518042,1.0932487
1,slavishness,6,lori,16.380346,1.1486831
1,slavishness,7,bobolinks,19.77647,1.2570969
1,slavishness,8,pimientos,15.245271,1.2508223
1,slavishness,9,elastase,17.423279,1.0461782
2,lunkheaded,3,nailheads,14.857322,1.1117934
2,lunkheaded,4,presolicitation,14.352746,1.2308066
2,lunkheaded,5,rattled,20.50715,1.002384
2,lunkheaded,6,lori,16.338276,1.0134754
2,lunkheaded,7,bobolinks,19.738197,1.1293681
2,lunkheaded,8,pimientos,15.658031,1.1428843
2,lunkheaded,9,elastase,19.887777,1.2477438
3,nailheads,4,presolicitation,11.561026,0.9254301
3,nailheads,5,rattled,19.393633,0.94296116
3,nailheads,6,lori,15.625848,1.0244893
3,nailheads,7,bobolinks,17.819979,0.9820085
3,nailheads,8,pimientos,13.037595,0.8958645
3,nailheads,9,elastase,17.311657,1.0172453
4,presolicitation,5,rattled,18.92875,0.9742484
4,presolicitation,6,lori,14.315251,0.9786375
4,presolicitation,7,bobolinks,17.166746,1.007018
4,presolicitation,8,pimientos,13.146071,1.0833997
4,presolicitation,9,elastase,15.937735,0.9477634
5,rattled,6,lori,22.388107,1.0965583
5,rattled,7,bobolinks,23.179247,0.9881558
5,rattled,8,pimientos,20.564398,1.0345134
5,rattled,9,elastase,24.023623,1.1207277
6,lori,7,bobolinks,19.357487,0.96636736
6,lori,8,pimientos,14.527675,0.82641274
6,lori,9,elastase,18.679544,0.9694414
7,bobolinks,8,pimientos,16.42825,0.7794486
7,bobolinks,9,elastase,20.282795,0.92653745
8,pimientos,9,elastase,16.73774,0.8948778
